# submitted_item	validated_id	current_symbol
Q9VI21	FBgn0037443	Dmtn
Q9VCH8	FBgn0039117	tst
Q9VJ80	FBgn0032685	CG10211
Q7KK96	FBgn0027783	SMC2
Q9VCI0	FBgn0039115	CG10214
Q7KMG7	FBgn0028434	Ercc1
Q9VCI4	FBgn0039113	udt
Q9VCI5	FBgn0039112	SdhD
Q9V415	FBgn0028475	Hrd3
Q9VU67	FBgn0036356	CG10222
P15348	FBgn0284220	Top2
A0A0B4KGQ0	FBgn0039110	RanBP3
M9PEB5	FBgn0035695	CG10226
E1JH68	FBgn0264962	Pcf11
A0A0B4KFL3	FBgn0040208	Kat60
Q7KMP8	FBgn0028691	Rpn9
Q9VCJ0	FBgn0039108	CG10232
Q9VN91	FBgn0087005	rtp
P25722	FBgn0024230	Hs2st
Q00174	FBgn0002526	LanA
Q9I7M3	FBgn0032783	CG10237
Q9VBX2	FBgn0039280	Mocs2B
B9A0M7	FBgn0027514	CG1024
Q9V769	FBgn0013773	Cyp6a22
Q9V770	FBgn0015714	Cyp6a17
Q9V771	FBgn0033978	Cyp6a23
P82711	FBgn0033979	Cyp6a19
Q9VBW3	FBgn0022800	Cad96Ca
Q9V773	FBgn0033980	Cyp6a20
Q27594	FBgn0013771	Cyp6a9
Q9V774	FBgn0033981	Cyp6a21
Q27593	FBgn0013772	Cyp6a8
A8DYE0	FBgn0027596	Kank
P22816	FBgn0002922	nau
Q9VCJ5	FBgn0043005	prt
Q9VCJ6	FBgn0039104	CG10252
Q9V778	FBgn0033983	ADPS
A0A0B4KHY8	FBgn0027512	CG10254
Q9V780	FBgn0033984	Lap1
Q8SWZ6	FBgn0033985	CG10257
M9PDM4	FBgn0267350	Pi4KIIIalpha
Q9VIT0	FBgn0032813	PCNA2
M9PBE2	FBgn0032812	Hakai
Q9VEZ7	FBgn0038394	CG10264
Q7K2K2	FBgn0033990	CG10265
Q9VI24	FBgn0037446	Zif
Q9VIT2	FBgn0032811	CG10268
Q9VRV5	FBgn0022935	D19A
Q9VRV4	FBgn0022699	D19B
A8JNL9	FBgn0035690	CG10274
Q9VJ82	FBgn0032683	kon
Q9VI20	FBgn0037442	gzl
A0A0B4JDD2	FBgn0038391	GATAe
P19109	FBgn0003261	Rm62
P02833	FBgn0260642	Antp
A0A0B4K600	FBgn0037395	CG10280
Q05913	FBgn0010282	TfIIFalpha
E1JHK9	FBgn0032681	CG10283
Q9VI15	FBgn0037439	CG10286
A8JQU3	FBgn0026077	Gasp
M9PEB1	FBgn0035688	fmt
O01367	FBgn0264491	how
B7Z0W0	FBgn0267698	Pak
Q9VI12	FBgn0037436	Hr83
P91941	FBgn0020765	Acp65Aa
Q9VI08	FBgn0037432	CG10298
P09077	FBgn0003339	Scr
Q9VCJ2	FBgn0039107	CG10300
Q9VCJ3	FBgn0039106	CG10301
Q9VJ86	FBgn0284256	bsf
A0A0B4KF52	FBgn0037412	Osi4
P13008	FBgn0261597	RpS26
Q9W2D9	FBgn0034654	eIF3k
Q9W2D7	FBgn0034655	CG10307
Q9VZP3	FBgn0010317	CycJ
Q9VEW6	FBgn0038418	pad
Q9VIC3	FBgn0015568	alpha-Est1
Q9VEW3	FBgn0038420	CG10311
Q0E8X6	FBgn0034858	eIF2Bdelta
Q9VEW0	FBgn0038423	CG10317
Q9W2E3	FBgn0034650	NC2alpha
Q9W2E8	FBgn0034645	ND-B12
A0A0B4KFE8	FBgn0034643	CG10321
Q9VES0	FBgn0038454	CG10324
P29555	FBgn0000014	abd-A
Q9VES1	FBgn0038453	Arl6IP1
Q8SXP8	FBgn0025790	TBPH
Q24113	FBgn0015520	nonA-l
Q9W1M5	FBgn0260455	CG10332
Q9VJ74	FBgn0032690	CG10333
Q01083	FBgn0005672	spi
Q9VTV9	FBgn0036271	Pbgs
Q8INX3	FBgn0032698	CG10336
Q9VIU0	FBgn0032805	CG10337
Q9VJ63	FBgn0032700	CG10338
Q9W1B3	FBgn0034972	CG10339
P09081	FBgn0000166	bcd
Q9VES8	FBgn0022344	CG10340
Q9VJ62	FBgn0032701	CG10341
Q9VET0	FBgn0027109	NPF
Q9VJ60	FBgn0032703	CG10343
Q9W251	FBgn0034729	CG10344
Q9VET1	FBgn0027562	CG10345
Q9VJ57	FBgn0032705	Grip71
Q9VYT5	FBgn0030342	CG10347
Q9VJ55	FBgn0032707	CG10348
M9PJJ5	FBgn0030348	CG10352
Q76NS2	FBgn0030349	CG10353
Q9VM71	FBgn0031868	Rat1
Q9VZN6	FBgn0035453	CG10357
B7Z0B3	FBgn0035452	CG10359
P14199	FBgn0003231	ref(2)P
Q9VTN9	FBgn0036208	CG10361
Q9VYR9	FBgn0030358	CG10362
M9PD73	FBgn0041180	Tep4
Q9VIT3	FBgn0027949	msb1l
Q9VCI9	FBgn0039109	CG10365
Q9VIS9	FBgn0032814	CG10366
P14773	FBgn0263782	Hmgcr
B7YZX2	FBgn0032706	Irk3
Q9V3V6	FBgn0028684	Rpt5
Q86BN8	FBgn0039111	PTPMT1
Q9VJ58	FBgn0025608	Faf2
Q9VJ59	FBgn0032704	Jwa
Q9VCI3	FBgn0039114	Lsd-1
A0AVU6	FBgn0039116	CG10375
Q9VJ61	FBgn0032702	CG10376
P48809	FBgn0004838	Hrb27C
A0A0B4K7Q6	FBgn0015513	mbc
Q9W260	FBgn0025878	wrapper
Q9VJ64	FBgn0032699	CG10383
Q9W249	FBgn0034731	CG10384
P50535	FBgn0005617	msl-1
Q24558	FBgn0015553	tos
P83949	FBgn0003944	Ubx
Q9VND0	FBgn0014342	mia
Q9VJ71	FBgn0032693	Cyp310a1
Q7KJA9	FBgn0261403	sxc
Q9Y0A7	FBgn0003270	amos
A1Z6E8	FBgn0033019	CG10395
