# submitted_item	validated_id	current_symbol
Q9VRD1	FBgn0031141	CG1304
Q9VV32	FBgn0036608	CG13040
Q9VV29	FBgn0036605	CG13041
Q9VV26	FBgn0036602	CG13042
Q9VV24	FBgn0036600	CG13043
Q9VV23	FBgn0036599	CG13044
Q9VV20	FBgn0036596	CG13045
Q9VV19	FBgn0036595	CG13046
Q9VV18	FBgn0036594	CG13047
Q9VV17	FBgn0036593	CG13048
Q8SWS3	FBgn0036592	CG13049
Q9VV14	FBgn0036591	CG13050
Q6IL42	FBgn0040799	CG13051
Q9VV03	FBgn0040801	CG13053
Q9VV02	FBgn0036584	CG13054
Q9VV01	FBgn0036583	CG13055
Q9VV37	FBgn0040794	CG13056
Q9VV36	FBgn0040074	retinin
Q9VV35	FBgn0036610	CG13058
Q9VV31	FBgn0036607	CG13059
Q9VV30	FBgn0036606	CG13060
Q9VV28	FBgn0042201	Nplp3
Q9VV27	FBgn0036603	CG13062
Q9VV25	FBgn0036601	CG13063
Q7KUN9	FBgn0040796	CG13064
Q9VV13	FBgn0036590	CG13065
Q9VV12	FBgn0040797	CG13066
Q9VV11	FBgn0036589	CG13067
Q9VV10	FBgn0036588	CG13068
Q9VV08	FBgn0040798	CG13069
O97067	FBgn0026566	CG1307
Q9VV06	FBgn0036586	CG13070
M9MRW7	FBgn0036585	CG13071
Q9VUZ8	FBgn0036580	PDCD-5
Q8IQN0	FBgn0036577	CG13073
Q9VUY2	FBgn0036567	CG13074
Q9VUX8	FBgn0036563	CG13075
Q9VUX3	FBgn0044028	Notum
M9PG89	FBgn0032810	CG13077
Q9VIT6	FBgn0032809	CG13078
Q9VIU2	FBgn0032804	CG13081
Q9VIU3	FBgn0032803	CG13082
Q7KT36	FBgn0032789	CG13083
Q9VIV8	FBgn0032788	CG13084
Q9VIW8	FBgn0032780	CG13085
Q9VIY0	FBgn0032770	CG13086
Q8T4E7	FBgn0032047	CG13088
Q9VLK0	FBgn0032052	PIG-U
Q9VZF1	FBgn0035519	CG1309
Q9VLJ8	FBgn0032054	Uba4
Q9VLJ7	FBgn0032055	Sgp
Q9VLK4	FBgn0032048	Dh31
Q9VLK3	FBgn0032049	Bace
Q9VLK2	FBgn0032050	CG13096
Q9VLK1	FBgn0032051	CG13097
Q9VLJ9	FBgn0032053	mRpL51
Q9VLG1	FBgn0032084	CG13101
Q8MT42	FBgn0032088	CG13102
Q9VLE5	FBgn0032096	Or30a
Q9VLE1	FBgn0032100	CG13108
Q9VLD9	FBgn0041092	tai
Q9VZE7	FBgn0035523	Ctl1
Q9VLC8	FBgn0032111	CG13110
Q9VLB0	FBgn0032126	CG13113
A9UN61	FBgn0032127	CG13114
Q9VL94	FBgn0032139	CG13116
Q9VL93	FBgn0032140	CG13117
M9PD20	FBgn0032150	CG13123
Q8MRQ1	FBgn0032156	CG13124
Q9VL65	FBgn0032163	TbCMF46
Q9VL60	FBgn0032168	CG13126
Q9VL47	FBgn0032176	CG13127
Q9VL48	FBgn0032175	CG13131
Q9VL41	FBgn0032181	CG13133
Q9VL37	FBgn0032184	CG13135
Q9VL33	FBgn0032188	CG13137
Q9VL03	FBgn0032211	CG13138
Q9VKY1	FBgn0032230	lft
Q9VRC3	FBgn0031134	CG1314
Q9VKX8	FBgn0032233	dpr19
Q9VKV4	FBgn0032251	Nse4
Q9VKU4	FBgn0032260	CG13144
Q0E9A0	FBgn0033767	CG13148
O97069	FBgn0026565	Ass
A1Z917	FBgn0033750	CG13151
A1Z902	FBgn0033736	CG13154
A1Z8Y4	FBgn0033723	CG13155
A1Z8Z8	FBgn0033732	CG13157
Q9V6A9	FBgn0033727	Or49a
Q7JWN2	FBgn0033721	CG13159
Q9VZE4	FBgn0035526	CG1316
A0A0B4KEL4	FBgn0033720	CG13160
A1Z8X3	FBgn0266111	ana3
Q4V619	FBgn0033712	mIF3
A1Z8W1	FBgn0061197	salto
A1Z8V7	FBgn0033706	Vha36-2
A0A0B4LG74	FBgn0033705	CG13168
Q9W023	FBgn0035333	CG1317
A1Z8V3	FBgn0033703	CG13170
Q4QPW4	FBgn0033701	CG13171
A1Z8U7	FBgn0033693	CG13175
Q7JW27	FBgn0033692	wash
A8DYB2	FBgn0040759	CG13177
Q29QP4	FBgn0033685	OSCP1
Q0E8H9	FBgn0041630	Hexo1
A1Z8Q9	FBgn0033667	reb
A8DYB0	FBgn0033661	CG13185
Q7JWU2	FBgn0033680	CG13186
A1Z8R0	FBgn0033668	exp
Q8SWW2	FBgn0033665	Zip48C
Q8SZA8	FBgn0035529	Fdx2
Q9V629	FBgn0260932	cuff
Q1WWB7	FBgn0033653	CG13192
A1Z8P1	FBgn0033650	CG13193
B9ZW35	FBgn0033649	pyr
A1Z8N9	FBgn0033648	Ir48b
Q7JUW8	FBgn0033645	CG13196
Q8SX38	FBgn0062449	CG13197
A1Z8N0	FBgn0033640	CG13198
Q9W021	FBgn0035335	mRpL23
Q7KBL8	FBgn0001276	ix
A1Z8J9	FBgn0033623	CG13202
A1Z8K6	FBgn0033628	CG13203
A1Z8K2	FBgn0033627	CG13204
P81922	FBgn0026385	Or47b
A0A0B4LF37	FBgn0016047	nompA
A1Z8I9	FBgn0033614	Obp47b
B7YZF2	FBgn0003382	sha
Q494G8	FBgn0033609	Fbl6
A0A0B4JCR2	FBgn0033603	Cpr47Ef
A1Z8G6	FBgn0033592	CG13215
Q7K0A3	FBgn0033591	CG13216
Q7JWM4	FBgn0033590	CG13217
A1Z8G1	FBgn0033587	CG13218
P28166	FBgn0004606	zfh1
Q6NP72	FBgn0033608	CG13220
Q9V3C1	FBgn0041174	Vhl
A1Z8H6	FBgn0033602	Cpr47Ee
A1Z8H3	FBgn0033599	CG13223
Q7K0A2	FBgn0033598	Cpr47Eb
P81921	FBgn0026386	Or47a
A1Z8G8	FBgn0033594	CG13226
A1Z8G3	FBgn0033589	CG13227
A1Z8G2	FBgn0033588	CG13228
Q7JVS8	FBgn0033579	CG13229
A1Z8F3	FBgn0040764	CG13230
A1Z8F1	FBgn0033580	CG13231
A1Z8E9	FBgn0033578	BBS4
Q9VNQ5	FBgn0037197	CG13239
Q9VRB7	FBgn0031129	CG1324
Q9V3W2	FBgn0001989	ND-B17
Q9V3B1	FBgn0028903	CG13243
Q9VJM8	FBgn0032577	CG13244
Q9VJM5	FBgn0045827	CG13245
Q9VPG2	FBgn0036984	CG13248
M9PD37	FBgn0037013	CG13250
Q9VPC7	FBgn0037014	CG13251
Q9VPC4	FBgn0037016	CG13252
Q9VPC5	FBgn0037015	cmpy
Q9VPA4	FBgn0040636	CG13255
M9ND90	FBgn0032582	CG13258
P04657	FBgn0086907	Cyt-c-d
O97060	FBgn0004781	Ccp84Ac
Q9VJI0	FBgn0040262	Ugt37C2
Q9VJH9	FBgn0040261	Ugt37E1
Q9VJH6	FBgn0086673	CG13272
Q9VJI7	FBgn0261068	LSm7
Q9VJI4	FBgn0032602	ppk17
P19967	FBgn0000406	Cyt-b5-r
M9PG29	FBgn0032609	CG13280
Q9XZU1	FBgn0022213	Cse1
Q9VJH1	FBgn0032612	CG13282
Q9VJH0	FBgn0032613	Nepl9
D5SHN1	FBgn0032614	CG13284
M9NDI7	FBgn0035611	CG13285
M9PEQ7	FBgn0035643	CG13287
Q9VRR1	FBgn0035648	CG13288
M9PEA7	FBgn0035677	CG13293
Q9VRT6	FBgn0035674	CG13295
Q9VRV0	FBgn0035687	Prdm13
Q9VRU8	FBgn0035685	CG13297
Q9VRV7	FBgn0035692	Sf3b6
Q9VRW1	FBgn0035694	CG13299
O97062	FBgn0004779	Ccp84Ae
Q9VRW7	FBgn0035699	CG13300
B7Z0E3	FBgn0035921	CG13305
Q9VSP7	FBgn0040828	CG13306
Q9VSQ6	FBgn0035932	CG13308
Q9VSQ7	FBgn0035933	CG13309
O97063	FBgn0004778	Ccp84Af
Q9VSQ2	FBgn0035928	CG13310
Q9VSQ3	FBgn0035929	CG13311
Q9VSQ5	FBgn0035931	CG13312
Q9VSR6	FBgn0035941	CG13313
Q9VSS4	FBgn0035949	CG13314
Q9VSU3	FBgn0040827	CG13315
Q9W4Q7	FBgn0023215	Mnt
Q9W4Q9	FBgn0044046	Ilp7
Q8SZ60	FBgn0037627	CG13318
Q7JWR4	FBgn0033781	CG13319
Q7JQL2	FBgn0033785	Sans
Q7JZZ3	FBgn0033787	CG13321
Q8T8S1	FBgn0033784	SCCRO3
Q4V4H7	FBgn0033788	CG13323
A1Z979	FBgn0033789	CG13324
Q7JY04	FBgn0033792	CG13325
Q7JYM7	FBgn0033794	CG13326
Q9V6Q2	FBgn0040477	cid
Q9V3A6	FBgn0261274	Ero1L
A1Z9E4	FBgn0033848	CG13330
A1Z9E8	FBgn0033850	CG13331
A1Z9E9	FBgn0033851	CG13332
Q7K275	FBgn0033855	link
A1Z9F8	FBgn0033856	CG13334
A1Z9G7	FBgn0033863	CG13337
Q7JZ94	FBgn0033867	Cpr50Ca
A1Z9H7	FBgn0033871	CG13339
Q500X4	FBgn0033868	S-Lap7
Q9V6U8	FBgn0263697	Uba3
A1Z9I6	FBgn0033884	CG13344
A1Z9I5	FBgn0086356	tum
O16129	FBgn0275436	PheRS-m
Q7K2G1	FBgn0033886	Rpn13
Q494K2	FBgn0033890	Ctf4
Q7KW26	FBgn0026874	CG13358
Q9W5D2	FBgn0025616	CG13359
O77436	FBgn0025620	CG13360
Q9W5D7	FBgn0029532	CG13361
Q8SXG9	FBgn0029531	CG13362
Q9W5E0	FBgn0025639	Hmt4-20
Q9XZS3	FBgn0026879	CG13364
Q9W5E7	FBgn0029529	CG13365
Q0KHX7	FBgn0025633	CG13366
Q9W5E2	FBgn0025634	CG13367
O77425	FBgn0025640	CG13369
A8JUS8	FBgn0029522	CG13373
Q9W5G3	FBgn0011822	Pgcl
Q9W5G7	FBgn0040370	CG13375
Q59E78	FBgn0029518	CG13376
Q9W5H1	FBgn0261446	CG13377
Q9VVR6	FBgn0036804	Sgf11
Q8IQ35	FBgn0031128	hydra
Q9VVR0	FBgn0036799	CG13380
Q7KTI1	FBgn0032036	CG13384
Q9VLL7	FBgn0032039	CG13385
Q9VLL6	FBgn0032040	CG13386
Q9TVM2	FBgn0020497	emb
Q9VLL3	FBgn0027932	Akap200
Q03334	FBgn0010265	RpS13
Q9V4Q0	FBgn0033202	CG1339
Q9VLN0	FBgn0032031	CG13390
Q9VLM8	FBgn0027094	AlaRS
Q9VLM7	FBgn0032033	CG13392
Q9VLM5	FBgn0263852	Dad1
O16868	FBgn0001084	fy
Q9VLL5	FBgn0014417	CG13397
Q9VLL4	FBgn0032042	CG13398
Q9V444	FBgn0043002	Chrac-14
Q9VA45	FBgn0039797	eIF4H2
Q9VLL1	FBgn0027490	D12
Q9VLL0	FBgn0027780	Aasdh
Q9VY63	FBgn0030538	betaNACtes1
Q1WWA0	FBgn0030544	CG13403
Q9VY41	FBgn0030559	CG13404
Q9W0V5	FBgn0035097	CG13405
Q9VD47	FBgn0038931	CG13407
Q9VD50	FBgn0038929	CG13408
Q9VD53	FBgn0038926	CG13409
Q7KMQ0	FBgn0028687	Rpt1
Q8MS27	FBgn0038923	mRpL35
A0A0B4KHL3	FBgn0067317	Cby
Q9VD76	FBgn0041229	Gr93a
Q9VD81	FBgn0038903	RpI12
Q9VD83	FBgn0038901	Burs
Q9VA48	FBgn0039795	Spn100A
Q9V931	FBgn0034509	Obp57c
A1ZBU5	FBgn0034511	GNBP-like3
A1ZBU9	FBgn0034513	CG13423
Q8MZ02	FBgn0034520	lms
E1JGN7	FBgn0267791	HnRNP-K
A1ZBU4	FBgn0034510	CG13426
A1ZBV0	FBgn0034514	CG13427
A0A0B4K7J7	FBgn0034515	CG13428
A8JUN6	FBgn0020378	Sp1
Q7K1E3	FBgn0034518	CG13430
Q60GL7	FBgn0034521	Mgat1
Q7K3W4	FBgn0028622	qsm
Q7JZC9	FBgn0034523	Nnf1a
A1ZBX0	FBgn0034532	CG13436
A1ZBX9	FBgn0034541	CG13437
A1ZBY2	FBgn0034545	CG13438
A1ZBY3	FBgn0040726	dpr1
A1Z6G6	FBgn0027507	CG1344
Q9V969	FBgn0041240	Gr57a
A1ZBY4	FBgn0034546	CG13442
A1ZBY5	FBgn0034548	CG13443
Q9VUU1	FBgn0036532	CG13445
M9PI68	FBgn0036520	CG13449
Q9VAW3	FBgn0039580	Gfat2
Q9VUP6	FBgn0036503	CG13454
Q9VUN5	FBgn0036498	CG13455
Q8IQM0	FBgn0036482	CG13457
Q9VUL2	FBgn0036479	CG13458
Q9VUK2	FBgn0036471	CG13460
Q9VUJ9	FBgn0036468	CG13461
Q9VUK1	FBgn0036470	EAChm
P83263	FBgn0040809	CG13465
Q7KTS2	FBgn0037363	Atg17
Q9VUH0	FBgn0036443	CG13471
Q9VUH8	FBgn0036450	Tdrd3
Q9VUG9	FBgn0036442	CG13473
Q9VUG5	FBgn0036439	CG13474
Q7KUL3	FBgn0036441	CG13476
Q9VUG4	FBgn0036438	goddard
Q9VUF8	FBgn0003388	shd
P81829	FBgn0028418	Lk
Q9VUE3	FBgn0036421	CG13481
Q9VUE1	FBgn0036419	CG13482
Q9VUC4	FBgn0036406	CG13484
A0A0B4K7X9	FBgn0034670	CG13488
Q9VA37	FBgn0039802	dj-1beta
Q9W2B2	FBgn0041237	Gr58c
Q8MLU9	FBgn0034662	CG13492
Q9W2C1	FBgn0034667	comr
Q8MZA7	FBgn0034671	CG13494
Q9W2B1	FBgn0041238	Gr58b
Q9W2A4	FBgn0034683	CG13500
A0A0B4LG65	FBgn0034684	CG13501
D6W4X6	FBgn0034692	CG13502
A8DYL3	FBgn0243516	Vrp1
Q9W259	FBgn0034723	CG13506
Q9W221	FBgn0034758	CG13510
Q9W220	FBgn0034759	CG13511
Q2PE16	FBgn0040658	CG13516
Q86BF9	FBgn0034766	Obp59a
Q9W209	FBgn0034768	Obp58b
Q9W207	FBgn0034770	Obp58d
Q9W213	FBgn0005631	robo1
Q9W208	FBgn0034769	Obp58c
Q9W200	FBgn0034774	CG13526
A0A0B4LH86	FBgn0034776	CG13527
Q9W1Y8	FBgn0034786	CG13531
Q9W1Y4	FBgn0034788	CG13532
Q9W1X9	FBgn0034793	asrij
Q9W1U8	FBgn0034820	CG13538
Q9W1T5	FBgn0034833	CG13539
Q8SWU7	FBgn0030151	CG1354
Q9W1S9	FBgn0034839	CG13540
Q9W1S6	FBgn0034841	CG13541
Q9W1U2	FBgn0034826	CG13544
Q9W1U0	FBgn0034828	CG13545
Q0E8X9	FBgn0040063	yip3
Q9W1R4	FBgn0034853	Ice1
Q0E8X8	FBgn0040660	CG13551
Q9W1P5	FBgn0034867	CG13557
Q9W1P1	FBgn0034869	CG13558
Q9W1P0	FBgn0034870	CG13559
Q9W1K3	FBgn0034899	CG13560
Q9W1J6	FBgn0034906	CG13561
A0A0B4K8B1	FBgn0034928	CG13562
Q9W1C1	FBgn0034966	CG13563
Q9W1B2	FBgn0034973	CG13564
A0A0B4LHE6	FBgn0034935	Orcokinin
Q9W1F0	FBgn0034942	CG13566
Q9W1C6	FBgn0034963	Not11
A8DYP2	FBgn0034965	ppk29
Q9V3E9	FBgn0015544	spag
Q9W189	FBgn0034996	CG13575
Q9W191	FBgn0034994	Ir60a
A0A0B4LHJ1	FBgn0034998	CG13577
Q4V4I1	FBgn0035000	CG13578
A0A0B4KG01	FBgn0035010	CG13579
Q7K1D7	FBgn0033196	CG1358
Q9W164	FBgn0029501	Crtp
Q9W161	FBgn0035014	CG13581
Q0E8W6	FBgn0035020	CG13585
Q0E8W5	FBgn0035023	ITP
Q9W142	FBgn0035031	CG13587
Q9W166	FBgn0035011	CG13589
Q9VA95	FBgn0260860	Bet5
Q9W165	FBgn0035012	CG13590
Q24536	FBgn0015300	Ssl
Q9W155	FBgn0035019	Ir60e
Q9W131	FBgn0035041	CG13594
A8JR93	FBgn0016754	sba
Q9VCG0	FBgn0039128	CG13599
Q6NR22	FBgn0033195	CG1360
Q9VCG3	FBgn0039126	CG13601
Q9VCF1	FBgn0039135	CG13603
Q9VCE9	FBgn0039137	CG13604
Q9VCD3	FBgn0039150	CG13605
Q0KI21	FBgn0039161	CG13606
Q9VCD2	FBgn0039151	CG13607
Q9VCC3	FBgn0039159	mRpS24
Q9VCB1	FBgn0039170	CG13609
P21663	FBgn0000094	Anp
Q95R48	FBgn0086365	Orct2
Q9VCA1	FBgn0286199	shps
Q9VC83	FBgn0039193	CG13613
Q9VC81	FBgn0039194	CG13614
Q9VC76	FBgn0039199	CG13615
A0A0B4LHK6	FBgn0039200	CG13616
Q9VC70	FBgn0039201	DZIP1
Q9VC67	FBgn0039203	CG13618
A1Z840	FBgn0013435	Cdc2rk
Q9VC68	FBgn0039202	CG13622
Q9VC65	FBgn0039205	CG13623
Q9VC61	FBgn0039209	REPTOR
Q9VC60	FBgn0039210	CG13625
Q9VC58	FBgn0039212	Syx18
A0A0B4LHL1	FBgn0039217	CG13627
Q9VC49	FBgn0039218	Rpb10
A1Z714	FBgn0004133	blow
Q9VC48	FBgn0039219	CG13630
Q9VC43	FBgn0040600	CG13631
Q9VC44	FBgn0015591	AstA
Q9VC39	FBgn0039224	CG13634
Q8SXV1	FBgn0039232	sosie
A0A0B4K6K4	FBgn0265266	CG13639
Q9VC24	FBgn0039237	CG13640
Q9VC22	FBgn0039239	CG13641
Q9VC14	FBgn0040601	CG13643
A0A0B4KHH7	FBgn0039254	Nmnat
Q9VC02	FBgn0285912	mah
D0UGE6	FBgn0039257	tnc
C0HKQ7	FBgn0000276	CecA1
C0HKQ7	FBgn0000277	CecA2
Q9VBX6	FBgn0039277	Nepl16
Q9VBW9	FBgn0039283	danr
Q9VBW4	FBgn0039288	CG13653
A0A0B4LIM4	FBgn0039290	CG13654
Q9VBT3	FBgn0039315	CG13658
Q9VBS9	FBgn0039319	CG13659
Q9VBW0	FBgn0039291	CG13663
C6SUV2	FBgn0039294	Cad96Cb
Q9VSJ5	FBgn0035890	CG13667
C0HKQ7	FBgn0000276	CecA1
C0HKQ7	FBgn0000277	CecA2
Q9VSH5	FBgn0035873	CG13670
Q9VSG9	FBgn0035867	CG13671
Q9VSF9	FBgn0035858	CG13674
Q9VSE5	FBgn0035845	CG13675
M9PEQ6	FBgn0035844	CG13676
Q9VSG0	FBgn0035859	CG13678
Q8SZ49	FBgn0035856	CG13679
Q9VY62	FBgn0030539	CG1368
M9PEN9	FBgn0035816	CG13685
Q9VPS1	FBgn0040106	lectin-21Cb
X2JCX9	FBgn0013323	Ptth
Q9VPR6	FBgn0031267	Ipk2
M9PBN8	FBgn0031270	CG13689
Q9VPP5	FBgn0031252	CG13690
Q9VPP9	FBgn0031255	BBS8
Q9VPP8	FBgn0031254	CG13692
Q9VPL8	FBgn0031235	CG13693
Q9VPJ6	FBgn0031219	CG13694
Q9VVN7	FBgn0020300	geko
Q9VVN1	FBgn0036773	CG13698
Q9VVP0	FBgn0036781	CG13699
M9PG01	FBgn0036785	CG13700
Q9VVP8	FBgn0036786	skl
Q8IQS9	FBgn0036789	AstC-R2
Q8SXS4	FBgn0035583	CG13704
Q8SX23	FBgn0035582	CG13705
Q9VZ80	FBgn0035578	CG13707
Q9VZ81	FBgn0035577	CG13708
A1Z843	FBgn0033482	CG1371
Q9VZ87	FBgn0035572	CG13711
Q9VZ90	FBgn0035570	CG13712
Q9VZ91	FBgn0042199	CG13713
Q9VZ99	FBgn0035563	CG13716
P98163	FBgn0004649	yl
Q9VZB0	FBgn0035555	CG13720
Q9VZB1	FBgn0035554	CG13721
Q9VZB2	FBgn0035553	CG13722
Q9VVE9	FBgn0036705	CG13723
Q9VVF1	FBgn0036707	CG13724
Q9VVF2	FBgn0036708	CG13725
Q9VVF3	FBgn0036709	Or74a
Q9VVF5	FBgn0036711	CG13727
Q9VVG1	FBgn0036716	CG13728
O16829	FBgn0000279	CecC
Q9VVG2	FBgn0036717	CG13731
Q9VVH7	FBgn0036730	qjt
Q9VVH6	FBgn0036729	CG13733
Q9VU96	FBgn0036382	CG13737
Q9VUA6	FBgn0036390	CG13738
A1Z7T9	FBgn0033403	CG13739
P22265	FBgn0003866	tsh
A1Z7N6	FBgn0033374	Boot
A0A0B4KEF7	FBgn0033372	CG13742
A0A0B4K7V2	FBgn0033368	CG13743
A1Z7M5	FBgn0033363	CG13744
A1Z7L1	FBgn0033354	FANCI
Q7K003	FBgn0033341	MrgBP
A1Z7M6	FBgn0033364	CG13747
A1Z7L2	FBgn0033355	CG13748
A1Z7L0	FBgn0033353	CG13749
Q7K078	FBgn0033340	CG13751
Q9W4Y2	FBgn0260753	Pdfr
Q9W4Y1	FBgn0040376	AANATL7
Q7K6T9	FBgn0040375	CG13760
Q9W4X8	FBgn0011566	Smyd3
X2JI61	FBgn0040333	brv3
Q9VMB5	FBgn0031834	CG13766
M9PEW2	FBgn0031844	CG13771
Q9NGK5	FBgn0031866	Nlg2
Q9VM72	FBgn0042092	CG13773
Q9VM61	FBgn0031874	CG13775
Q9VM47	FBgn0031885	Mnn1
Q9VM46	FBgn0266666	Sem1
P18102	FBgn0003720	tll
Q9VM43	FBgn0031888	Pvf2
Q0E8S5	FBgn0031897	CG13784
Q9VM30	FBgn0031900	CG13786
Q9VM09	FBgn0041247	Gr28a
Q9VM08	FBgn0045495	Gr28b
Q9VLY5	FBgn0031935	CG13793
Q9VLY4	FBgn0031936	CG13794
Q9VLY3	FBgn0031937	CG13795
Q9I7N9	FBgn0031939	CG13796
Q7K2U8	FBgn0028560	sut4
Q9W024	FBgn0035332	CG13801
Q9W028	FBgn0035328	yellow-g2
Q8SXL5	FBgn0035325	CG13806
Q9W033	FBgn0035323	CG13807
Q9W040	FBgn0035317	Oseg2
Q7K1Q7	FBgn0033485	RpLP0-like
Q9W044	FBgn0035313	CG13810
Q9VW98	FBgn0036956	CG13813
Q9VCK2	FBgn0039098	GILT3
A0A0B4K701	FBgn0039068	CG13827
Q9VCQ2	FBgn0039059	CG13829
Q9VCR3	FBgn0039054	Cow
Q9VCS2	FBgn0039040	CG13833
Q9VCS0	FBgn0039042	CG13837
Q9VCS1	FBgn0039041	CG13838
Q9VCT6	FBgn0039028	CG13840
Q9VCU0	FBgn0040588	CG13841
Q9VCV8	FBgn0039009	CG13842
Q9VCX6	FBgn0038993	CG13843
A0A0B4KH58	FBgn0038967	CG13847
Q9VD09	FBgn0038966	pinta
Q95WY3	FBgn0038964	Nop56
P36192	FBgn0010385	Def
Q9VD14	FBgn0038961	CG13850
Q95RA8	FBgn0038965	mats
Q9VD15	FBgn0038960	CG13855
Q9VD16	FBgn0038959	CG13856
Q9VD17	FBgn0038958	CG13857
Q9VZ19	FBgn0026268	antdh
Q9VD34	FBgn0038942	CG13862
Q9W5N0	FBgn0039965	Coa7
A1ZBT5	FBgn0034503	MED8
A1ZBR8	FBgn0034486	CG13869
Q9W3G3	FBgn0030033	CG1387
A1ZBT8	FBgn0034506	CG13870
A1ZBT3	FBgn0034502	CG13871
A1ZBQ7	FBgn0034477	CG13872
A1ZBQ3	FBgn0034474	Obp56g
Q9V8Y9	FBgn0034475	Obp56h
Q9W0U4	FBgn0035104	CG13875
Q9W0T9	FBgn0035109	CG13876
E2RTP9	FBgn0035112	CG13877
Q9W0S8	FBgn0035120	wac
Q9W0S6	FBgn0035122	mRpL17
Q9W0Q8	FBgn0035138	CG13884
B9EQV3	FBgn0035165	CG13887
Q9W0M2	FBgn0035167	Gr61a
Q9W0M1	FBgn0035168	cep290
P18475	FBgn0003733	tor
Q9W0M0	FBgn0035169	Dci
Q9W0Q5	FBgn0035139	CG13891
Q9W0Q2	FBgn0035141	Cypl
Q8SYC4	FBgn0035146	CG13893
Q9W0N5	FBgn0035157	CG13894
M9PDR6	FBgn0035158	CG13895
Q9W0N2	FBgn0035159	CG13896
M9PBH2	FBgn0035160	hng3
Q9W0M9	FBgn0035161	CG13898
Q9W0M7	FBgn0035162	Sf3b3
Q9W0M5	FBgn0035164	CG13901
M9PDS1	FBgn0035166	JMJD5
Q9W0L3	FBgn0035176	mat
Q9V3B8	FBgn0028999	nerfin-1
Q9W0L6	FBgn0035173	CG13907
P27398	FBgn0003464	sol
Q9W0K3	FBgn0035186	CG13912
Q9W0G7	FBgn0035209	msd1
Q9W0F4	FBgn0043865	SA-2
Q9W0D3	FBgn0035237	CG13917
Q9W0B7	FBgn0035248	CG13919
Q8T0T9	FBgn0025712	CG13920
M9MRP1	FBgn0035267	CG13921
Q9W086	FBgn0035272	mRpL46
M9MRP4	FBgn0035286	CG13924
Q9W0C7	FBgn0035243	CG13926
Q9W0C4	FBgn0035245	GC
Q9W0C3	FBgn0035246	CG13928
Q86BS6	FBgn0035247	metl
Q9W0A6	FBgn0035256	CG13930
Q4V4Q7	FBgn0035258	CG13931
M9PDX4	FBgn0035270	CG13933
Q9W079	FBgn0035279	Cpr62Ba
Q9W078	FBgn0035280	Cpr62Bb
Q9W076	FBgn0035282	CNMa
Q9W070	FBgn0035287	CG13937
A1Z9Q6	FBgn0033931	Obp50e
Q9VZ18	FBgn0030277	CG1394
Q7JV70	FBgn0033928	Arc2
Q9VPS9	FBgn0040725	CG13946
Q9VPT0	FBgn0031277	CG13947
Q9VPT1	FBgn0041250	Gr21a
Q9VPU5	FBgn0031288	CG13949
P20483	FBgn0003525	stg
Q9VPU6	FBgn0031289	CG13950
Q9V574	FBgn0016970	l(2)k10201
A1Z7U1	FBgn0033405	CG13954
A1Z7U5	FBgn0033412	CG13955
X2JKM9	FBgn0040207	kat80
Q9VXH9	FBgn0030739	SWIP
Q9VIR7	FBgn0032824	CG13962
Q9VIQ7	FBgn0032834	CG13965
Q9VIQ0	FBgn0032840	sNPF
Q9VIP7	FBgn0045064	bwa
Q9VZ21	FBgn0261277	rtv
Q7KT25	FBgn0032851	CG13970
Q9VB28	FBgn0039522	CG13972
Q9VB30	FBgn0039520	Gr98a
Q9VB31	FBgn0039519	Cyp6a18
Q9VB32	FBgn0039518	CG13978
Q9VME0	FBgn0031811	CG13982
Q9VMF9	FBgn0031792	CG13983
Q9VMF5	FBgn0260452	CG13984
Q9VMG6	FBgn0031786	CG13989
E1JGZ8	FBgn0033212	LRR
Q9VMG7	FBgn0040950	Muc26B
Q9VMG8	FBgn0031785	CG13991
Q9VMK2	FBgn0031756	CG13992
Q9VMH8	FBgn0031776	Pfdn1
Q9VMI2	FBgn0031772	CG13994
Q9VMI4	FBgn0031770	CG13995
Q9VMJ2	FBgn0031763	CG13996
Q9VMK5	FBgn0086266	Vm26Ac
Q9VMK7	FBgn0040949	CG13998
Q9VMK8	FBgn0031753	CG13999
Q8T3P5	FBgn0031749	CG14000
Q9VML2	FBgn0043362	bchs
M9PB45	FBgn0031739	CG14005
Q9VMN0	FBgn0031733	CG14006
Q9VMN2	FBgn0031731	CG14007
Q9VAQ0	FBgn0039632	Cul5
Q9VMN9	FBgn0031725	DIP-eta
Q9VMP2	FBgn0031722	CG14011
Q9VMP6	FBgn0031720	CG14013
Q9VMP8	FBgn0031718	CG14014
Q9VMQ2	FBgn0031716	CG14015
Q9VMQ3	FBgn0031715	tomb
Q9VMP5	FBgn0031721	CG14017
Q9W3P7	FBgn0029962	CARPA
M9PB43	FBgn0031707	CG14020
Q7K3S3	FBgn0031702	fusl
Q9VMR9	FBgn0031700	CG14022
A8DYV5	FBgn0031698	Ncoa6
Q9VMS3	FBgn0031697	CG14024
P11929	FBgn0000228	Bsg25D
Q7KTP1	FBgn0003716	tkv
Q9VMR8	FBgn0031701	TotM
Q9VMS1	FBgn0015031	cype
Q9VMS4	FBgn0016076	vri
P42207	FBgn0011710	Sep1
Q9VMS5	FBgn0031696	Bub1
Q9VMS7	FBgn0031695	Cyp4ac3
Q9VMS9	FBgn0031693	Cyp4ac1
Q0E8T1	FBgn0250847	CG14034
